source_id,ra,ra_error,dec,dec_error,parallax,parallax_error
6600456850880784256,337.72471051392944,0.053833026,-33.97622223817164,0.057968497,36.08846956697972,0.073458046
6119796065671224704,215.23521586488425,0.015378312,-34.82852894301154,0.013178179,36.086740365773565,0.015994614
3363049071685181056,110.9313109835146,0.014959963,20.415266544785084,0.014885964,36.08561436290535,0.018614354
4770920212939966464,76.46405811240409,0.009354446,-53.47597665105345,0.010173851,36.08451148291481,0.010160419
3732674373792211584,197.57154875586156,0.01714487,9.535414275441266,0.012028281,36.08202268263202,0.023594681
1522552819667933952,196.3727493444134,0.12429806,37.13534276531118,0.06643463,36.074173875098126,0.13688226
4302323239268707584,294.71323405347476,1.5826256,9.860437446548552,1.4912544,36.07351724787806,2.8833869
2803640580793306752,14.91416966932614,0.015901411,22.858232564487746,0.014381582,36.07270967686931,0.018723745
2692798534424338304,321.6767047557293,0.012198333,3.736902949035866,0.011781861,36.065390821127714,0.016054338
2486984045196486784,35.43639438310496,0.019183917,-6.879302673699576,0.014362511,36.0641945268099,0.018462166
2799371898696899584,4.49303725654653,0.019883739,20.95362485180288,0.017927652,36.062333085681004,0.025990486
5016175391142088576,20.598019488684418,0.0136025045,-33.21555229720406,0.0105449585,36.05932414121862,0.017343478
2413236093765321856,347.47194442377753,0.029563306,-11.77795476976515,0.028142847,36.05830409701421,0.03581539
6443559256017942144,298.705072741671,0.010707524,-61.32335951267641,0.010473557,36.05683695316297,0.01396255
910832413088675328,130.8021594386893,0.014602464,39.83100599455697,0.010634114,36.05339255321963,0.01878754
6696911783307547648,301.0116009911806,0.023116434,-37.87821484795341,0.019275364,36.05197619287464,0.029736785
3204883744211014912,69.12038355242844,0.046371575,-3.359258807037197,0.024279224,36.04860433412787,0.053308327
5803288002802055808,263.7004119628786,0.009800459,-73.45982557687246,0.010686263,36.04762297822429,0.014465519
6153706477443518976,190.92448505989395,0.016879566,-37.70907037203689,0.012421819,36.04760319002567,0.020712176
2100403801349406336,287.3292195488394,0.06780432,39.20019843031893,0.07789322,36.046684844594225,0.08079436
771803119125632896,171.2491037212745,0.015950065,43.326661867167964,0.020539137,36.04635922470607,0.024529738
5803288101584023040,263.6142791079534,0.012174969,-73.44800930242533,0.013698135,36.046258280675886,0.018165661
3765286988182947840,152.5239694295334,0.07310444,-12.816410593852698,0.08112916,36.04365429685276,0.09882188
389368407774814336,6.5557409629673735,0.016107762,46.44709324606896,0.00839258,36.04175562969096,0.019194134
6028282819593236992,256.3204288667864,1.633711,-31.557761861630677,0.66580904,36.0396878068137,1.4891224
3476422193822600192,186.75765348676697,0.20868538,-25.751235071565144,0.15303944,36.03930402695192,0.2604167
2963680098856000128,83.70412868757161,0.008122193,-23.47090901679513,0.011772468,36.03768705294343,0.015606233
5449420287163389184,163.60616146515025,0.0788981,-34.759429531951774,0.09433014,36.03751740879836,0.123954944
4698017957749655168,32.69497814019076,0.07064371,-66.3721600230257,0.07405886,36.03560094357079,0.07819888
6037582179662701696,244.38616172914516,2.2265327,-30.728593431369447,1.0345765,36.03299105507137,2.3728797
5338458020412638592,166.36623310858005,0.15399095,-60.244292272826826,0.15785554,36.03104168682751,0.18783323
4119852825018068480,266.98191578427793,1.7128379,-19.59466012454377,1.1635969,36.02946923947105,2.4166563
1952680497148998144,325.05112525678163,0.006939995,37.056691517596455,0.009043794,36.02865470589616,0.011536243
6672244029484054272,303.20435877847524,0.05520404,-46.98495590915516,0.041625213,36.0271009770449,0.066271536
5688160373636499840,143.45594308870162,0.06740201,-16.05365838280703,0.06596893,36.0267124613196,0.08261642
2161733975835084544,314.9069738053655,0.008797855,42.04538137919194,0.011037342,36.025628732909446,0.011973546
414108140961406208,18.333826128726546,0.0094994325,58.922305123852354,0.0117501095,36.02500068284353,0.016983824
3975266461816068864,179.3687202332954,0.021943364,19.984141954227066,0.019191472,36.02383232174374,0.030872198
3644256252890922240,213.03031727079397,0.042010818,-4.230875491409094,0.035098456,36.02353326363464,0.046118755
5106365821707742208,48.3295422856112,0.023471653,-16.64776844422028,0.01928433,36.01921387258892,0.029778488
5848156426657892480,219.43862180151382,0.01370386,-67.93325837056041,0.017286727,36.01908647368874,0.023608478
1134343060928823168,161.2681786490492,0.01179277,82.55724588337279,0.010256966,36.01868759226869,0.011276969
4268212849542973696,288.59476073141786,1.1647092,3.1616448421762495,1.1713893,36.01800128234529,1.6076225
1727159083055610368,225.8755094291023,0.01686332,84.6389907486789,0.016249094,36.01742456434307,0.018109746
3513116607693000704,184.9521908375879,0.01730501,-23.534830237559625,0.015235069,36.01728231069563,0.022432106
6428723579982613376,298.51907435655414,0.015326248,-64.63715930953958,0.01750504,36.01014882743351,0.02651507
4533577850572985344,286.1301738029907,0.010544478,24.03187862481955,0.016225684,36.00904728690199,0.020245966
3205094369407459456,69.40630766284495,0.392803,-2.491585546760618,0.19995853,36.00852069860525,0.4757866
4501226503320682368,267.0466156993732,0.013867545,15.980123717161211,0.014137743,36.0080940089488,0.016669556
1722694722247854592,243.54869220618116,0.118282184,82.19514369927991,0.13590848,36.00787255670546,0.12626837
6724203036327430656,271.3032937670338,0.031134212,-43.4376180144605,0.02630575,36.00773986251014,0.03410901
6707466648270384896,272.43211501064184,0.017472597,-47.34294559280817,0.015080389,36.007435452613144,0.018698681
1371891929634259584,238.881299695692,0.01615652,35.20144981107934,0.020030642,36.00566165167623,0.023375247
6479407316515947520,319.13570808281645,0.011638298,-47.56831701399381,0.009933085,36.00051509223681,0.015473857
3715645373922988928,200.3756200659235,0.027632814,3.5505717371129983,0.01969415,35.99997438938385,0.031567004
4116526252640026496,264.56129221678924,2.0088367,-23.23606439734021,1.3343863,35.99902355666464,2.1972387
2553935752048977792,7.699790352270129,0.04335194,3.7838793611622275,0.030260282,35.997256309020244,0.04843781
6114344102909485824,210.3120538712025,0.08774743,-39.24232588643049,0.07604916,35.99700185293731,0.09366565
4169462136799175296,263.6946481607731,0.20607652,-6.903308364480113,0.15758608,35.99628905001834,0.26560906
2753032774987048192,2.4401881909756655,0.021940818,9.747837188848639,0.014437015,35.99265330811967,0.023801591
2033380802380103168,297.9805777963439,1.3243058,30.159056775014058,3.4993448,35.992181809197966,3.6417751
2077071477420073984,296.1986396401901,0.058012426,42.02601741204801,0.06617868,35.99096441057371,0.0696769
