ra,dec,pmdec,pseudocolour,non_single_star
252.619894219479,-1.6734843695241681,-47.49807859722543,,0
252.62040068082385,-1.6723619823849607,-47.532809254459984,,0
252.7589470001047,-1.760029721928634,-12.69655370938774,,0
252.7034487809732,-1.7053520499044517,-6.001535285901522,1.158534,0
252.66723609992792,-1.7002804679468957,6.284016988879989,,0
252.70344067029754,-1.6493990362021083,-26.347297169513183,,0
251.792661298695,-2.9371165531123875,0.7304802983916017,,0
251.92108156312244,-2.8723196212918136,-11.918901834256555,,0
252.07268893130563,-2.8912486534774513,9.002721410628311,,0
252.1576887544121,-2.7638554402775104,-55.75054528066057,,0
251.9744652101322,-2.8928042486316294,12.803494822490723,,0
252.0227838314642,-2.7618890629065693,-47.122604893457826,,0
252.3608075802256,-1.6745822875488534,-23.676269904711223,,0
252.35971668353284,-1.6752364806379028,-22.666924920583178,,0
252.39712154241425,-1.6509801074332515,-4.733781948677479,1.279725,0
251.37089826512354,-2.7085813856644982,-17.756553488733218,1.2686867,0
251.3707188371956,-2.708513531570331,-16.22442711983152,1.436138,0
252.41848275463232,-1.5765313367097749,-1.3932915340110341,1.168257,0
252.45681168363632,-1.583685309573814,-23.697329949355357,1.6149802,0
252.46472944914476,-1.5830090725778159,-16.83828839178342,,0
251.77604518791895,-2.89474568222308,-10.57854368851119,,0
251.83742088135233,-2.8709373604295494,0.06735887834082846,0.9982109,0
252.56955963989012,-1.5934605188392574,6.322612181029211,1.335633,0
252.66827034829652,-1.5196903501380599,-4.545187365351045,,0
251.6092791797658,-2.8533398557079677,-150.34987386724228,,0
252.46203378721532,-1.487914475701307,3.921287721520886,1.1607673,0
252.27302649273784,-1.5443162354535596,-133.14401088279033,0.9854049,0
252.1838266887711,-1.5556397888894395,-35.660256182541836,,0
251.70121559576305,-2.7231367761363963,-54.31693247768392,1.1632591,0
252.16219605246476,-1.5194017732927994,-38.293359432897454,1.1306479,0
252.15668423492536,-1.5221185645551547,16.070747692892773,1.1480896,0
252.17182826359075,-1.4850038430031287,-45.61992354284723,1.253787,0
252.11631328796165,-1.4676371347955495,1.7870883411501715,1.2593468,0
252.24156463435787,-1.4573630283234087,-0.2941392630419932,,0
252.19525734729635,-1.436131158913909,160.72275964195862,,0
252.25434427333158,-1.3808544858632803,-3.5942666993048875,1.1971997,0
252.22260688431325,-1.3678928562731536,14.8120124375602,,0
252.3709279046326,-1.4492578319888403,-26.237321193130175,,2
251.75541335234053,-2.661312719101536,-10.40953723026486,,0
252.4222996731831,-1.2972890268894204,-9.225974588112042,1.1184083,0
251.50095809483722,-2.740055119529055,0.6373046723885517,1.1617445,0
251.4557449703222,-2.7352446728419944,-37.69500708673726,1.2805175,0
251.38961398540303,-2.6942825051684327,-3.0546668844909948,1.7406052,0
251.52869041175904,-2.628786441152036,28.542849345777984,,0
251.52179621178976,-2.5915119905192987,-3.1519844613921197,,0
251.7030874549619,-2.623005783497192,-24.185903311403116,,0
251.71078843369884,-2.6108314070481473,-42.788355043562305,1.2022167,0
252.55940926217244,-1.290403945165162,-24.176751504999878,1.1527443,0
251.66399403606795,-2.6088952159099885,-5.104710881258152,1.469622,0
251.72379357488452,-2.5651631173651688,-8.169603503556019,1.6554369,0
251.79972989645432,-2.565620199947277,-10.048741477651292,1.2194015,0
251.6273188764972,-2.557494987110205,-6.319422164291342,1.1951088,0
251.6779310031485,-2.533645999820624,0.645621133892788,1.2715272,0
251.71333143702026,-2.503949519659599,0.09456353489096442,,0
251.69054405625243,-2.4893211000094966,-43.91178889810346,1.203546,0
251.64520679942834,-2.456730046405718,-106.7632207301394,,0
252.07331433359192,-1.4139833554046195,-7.449716800906049,0.91704124,0
252.15044258944963,-1.3669051976273956,-4.162430632758065,1.3916113,0
252.2116333257211,-1.3268849614510745,-18.178223188648744,1.3030279,0
251.99674301394643,-1.354488361393173,-1.6157134029077636,1.2486229,0
252.15630438283478,-1.2694724619422735,2.6489919831202138,,0
252.08809028095786,-1.2098065003730192,-58.89929502230281,,0
252.32095658438735,-1.249244050662095,-14.004194399555303,,0
252.2723901367306,-1.202791111232738,-22.70919503688335,,1
252.3669914716664,-2.737647331429851,-22.34391786928099,,0
251.8933841203368,-1.2439116798960588,2.0954423036005063,1.1001669,0
251.9862544527564,-1.2445653864133213,-3.256408920089591,,0
251.9711016800499,-1.2045567604246443,-39.17900506232538,,0
251.82313711569233,-1.1899994723694332,-244.1763296532723,,0
252.07130196456333,-1.1303998148546983,23.386244075757766,,0
251.9613002390827,-1.052644992257312,27.86091414126059,,0
251.92747941191803,-1.038899951679125,-13.487773791765134,,0
252.24935206913844,-2.7282870372005923,-24.235956000654948,,0
252.09252288673352,-1.022909761843023,11.785833116357525,1.3125805,0
252.15192959406383,-2.628802314849567,-12.20544210193735,1.2279994,0
252.2766797378391,-2.659697226649802,10.144167610203688,1.2771785,0
252.265324695199,-2.6242249485492186,17.495826656507568,,0
252.26315523727374,-2.624402988922466,17.64620887362736,,0
252.4764051409142,-2.5798536506926286,-39.96612225868844,,0
252.51395264719594,-2.5217166538391522,-6.238612735323655,1.1978202,0
252.3330147646926,-2.5914402521060045,-8.034065764913336,,0
252.43028534560096,-2.5039497899530727,-40.87611788448076,,0
252.42314177291476,-2.417122830663567,-5.822508660826459,1.6148729,0
252.4804857015351,-2.420129228588018,-7.3882104679152665,1.6873267,0
252.65866243468275,-2.262004084515444,5.720731299853395,0.9301931,0
252.720829395305,-2.1524740469687824,-19.055932109487948,1.2003939,0
252.10016949135726,-2.6244156304380915,55.32912341875699,,0
252.06349956191906,-2.595949288131556,27.578113978479124,1.105661,0
252.0472864358354,-2.422837397315553,-21.78159128823642,1.3460649,0
252.24886201036563,-2.5160941924256726,-7.332533643604379,2.0552976,0
252.09384321481704,-2.371639824920602,-20.05045518302543,1.1114178,0
252.248241029921,-2.2631311554934923,-62.16960890456943,1.1045583,0
251.80942840765667,-2.4494065498564743,-118.68226957406421,,0
251.83089043200312,-2.407455830633246,-2.1690806764932717,1.1387911,0
251.73197979333196,-2.3897982418939145,-24.591626780569953,,0
252.11266425758583,-2.198285011850135,-63.00250980421284,0.7229152,0
252.03568796979022,-2.1455502605784327,13.664326754384902,,0
252.07577515795467,-2.1377208693234317,-16.87491536729778,1.1226623,0
252.0882849198549,-2.1255138748318,61.166990579033346,,0
252.37788431689995,-2.3336852384192204,-5.989925847310527,1.3595786,0
252.44191314232518,-2.2316643489329793,2.795465197910352,1.1383023,0
252.44017371755618,-2.1659551390194958,0.5284336840549583,1.7175467,0
252.74055488615124,-2.1066683296402453,-1.5534115987435306,1.5580527,0
252.64105075808249,-2.076573657274244,-74.77408481203112,,0
252.5101939938088,-2.1494574641114013,-2.712701524491815,0.0820562,0
252.62682892191918,-2.035988088257844,-2.0991622320188568,1.1504065,0
252.35524855830553,-2.066586954769047,-0.07556859047916335,,0
252.1387413697713,-2.0422516314676895,3.106609587590146,0.77867794,0
252.2027802603312,-2.008029289470194,2.6374097663972162,1.0862299,0
252.18932234549592,-1.996192900791631,-78.00936820157027,,0
252.3743537721645,-1.9176991919150639,-29.19512891010867,,0
252.33069112758486,-1.9167648073655756,13.59984824764067,,0
252.3185312607246,-1.8979758533458444,-61.449055097318634,,0
252.44754360022216,-1.8605622416986953,-3.443360104203063,1.1678879,0
251.28785263658844,-2.6559943626884266,-56.976988094735034,1.1651101,0
251.16073772097286,-2.688232363994668,-12.612550343642086,1.0356538,0
251.09856936152948,-2.6293539242485044,-111.44655923058923,,0
251.4749179358821,-2.5368078868664936,-68.54989239864953,0.87700796,0
251.2269089432432,-2.542061540891895,-38.594169922748,,0
251.35408024012617,-2.4483582713941594,-5.883929071703896,1.111836,0
251.57868265215345,-2.480496974369604,-117.56080108333569,,0
251.48817958964398,-2.483951072073645,-0.9299100739592056,1.0605189,0
251.41926071807282,-2.391080039283261,-49.203331155819754,,0
251.53735291804895,-2.334017492547887,-20.455225222792915,0.9916417,0
251.5167335979393,-2.3219832192324663,2.872806256991303,1.3702594,0
251.08744777279853,-2.3935583029885867,-24.989133414031958,,0
251.2062429423798,-2.284654153436726,-0.5823821981731265,,0
251.36694848788878,-2.3300168213255246,-19.4294975764397,,0
251.2784874518798,-2.212000844964796,-42.970959987260784,,0
251.28293008212867,-2.212053283202557,-42.55270231625469,,0
251.31719112240293,-2.1619534841682553,0.7827192328434711,1.1546062,0
251.07521355721127,-2.2586368000797528,-6.328706983464434,1.2019483,0
250.95352351995186,-2.220686643717443,-34.099307957980535,1.2073151,0
250.94545474057105,-2.217947398859148,-3.74785099903575,1.5197784,0
251.20498333709403,-2.0556238710243826,-11.259930349795034,1.056845,0
250.8803301428814,-2.167486888022675,-71.10300097024187,,0
250.89218648546154,-2.14183526054186,-12.700517653691675,,0
251.78027360708455,-2.293477180850354,-5.655227302910324,,0
251.71878574638154,-2.2905341913068358,-65.7930562452293,,0
251.5948981024188,-2.1990205755703442,-41.032998949887514,,0
251.77632779608768,-2.1790944356093713,-6.848022895097272,1.4188598,0
251.94602197834087,-2.1602639488038613,-59.61121009089467,,0
251.8694799280623,-2.1775945792331,-101.91643186915623,,0
251.93926876762748,-2.1041077770447485,65.9031452609796,,0
251.93751724844338,-2.1041882392823,65.7069562822609,,0
251.9889975994094,-2.0574936409306863,14.606734254482724,,0
251.83026232711967,-2.076843947548981,-3.3861091510064316,0.9693697,0
251.76075190165398,-2.071717478215686,-5.091486764689131,,0
251.8189630083457,-2.0772193682910705,-10.906753368977427,1.6272326,0
251.78432065024273,-2.0555263653254245,-5.300059218913343,0.5447375,0
251.80238412179725,-2.0242101005981348,-4.054643711642923,1.161818,0
251.91829037430887,-2.0254880431744033,-30.544484468238444,,0
251.8546259557854,-2.024788406178854,-9.339482310252679,,0
251.83519242697784,-2.0008969334074056,-1.2345880744412454,1.8286813,0
251.5357674550066,-2.1333126011064096,-83.80830635248898,1.1226869,0
251.4853212112683,-2.0887706194187388,6.82616150332092,1.1325296,0
251.59153631151014,-2.0166591734230495,6.6007562233768295,0.8110774,0
251.7967280742961,-2.0097201856718807,-6.457825607561286,1.5574398,0
251.76771324388474,-2.0013787771522447,-17.81109627953008,0.96039253,0
251.66143309052353,-1.9901258571072782,-3.99813595446912,,0
251.79533265994894,-1.9932062902276386,-8.255259746177884,2.5885754,0
251.81593279113673,-1.980499127946795,1.4164252052980848,1.5623516,0
251.80916424772502,-1.9778101951647753,-6.378488441289429,1.6031351,0
251.81108553310193,-1.9792262461261325,-6.214759839031188,1.1577897,0
251.82015170874053,-1.9804407017615355,-47.477823172057896,,0
251.81236694421958,-1.9772565781401674,-8.597981004539852,1.6842043,0
251.82702764427967,-1.9752043577753886,-7.871873601908846,1.797964,0
251.82514202874472,-1.9679599869910582,-8.22033794151558,2.0444665,0
251.78885767008734,-1.9673783021794684,-3.6760159037484055,1.9972941,0
251.81118438046752,-1.9618791823118478,-3.415807460093168,1.1705872,0
251.79269217663222,-1.9629763587476947,-6.840509032533942,1.4191687,0
251.83057733865223,-1.9602839809020713,-9.366031956633401,1.5845841,0
251.85408034720197,-1.9557629278732187,-6.648631412435503,1.4153293,0
251.86693342080883,-1.9297028950850084,-9.643709057441548,1.232297,0
251.83113387499006,-1.9492540725875556,-6.700570443201967,1.5128809,0
251.82528339874156,-1.9495964572032978,3.8356482787003934,0.9932961,0
251.84023772798918,-1.931386451200365,-1.8954659251600707,1.6132838,0
251.83830658198943,-1.9472345049214197,-9.914539426885236,2.1889353,0
251.82699234874863,-1.9398916622258786,-1.2458487252007233,2.0200808,0
251.81805822459435,-1.9342835838402044,-9.161420163015753,1.2079008,0
251.84396998515848,-1.9316710360917875,-16.65344164777436,1.6895959,0
251.78026507360812,-1.9568829191799089,-6.979028395103726,0.9946865,0
251.72118655730358,-1.941674690394292,-57.78543370864614,,0
251.76097180574564,-1.9278898713000618,-6.055461306021352,1.6028285,0
251.75244972242953,-1.9228750240155243,-12.767123172030212,1.719689,0
251.8108393531501,-1.9209840842828676,-3.6955888329725646,1.0890539,0
251.82230928339186,-1.919068621685054,-4.555146709871252,1.8361355,0
251.83461547548205,-1.8972379335472154,-17.792526556730746,1.2949036,0
251.76537466555197,-1.887829400881566,-8.03538898233557,2.3887885,0
