ra,dec,pmdec
259.8681972582434,42.254904472104265,-56.227849556123026
259.51386503423436,42.15933316528901,-4.707204225359283
259.43463209479245,42.2511198157026,-14.444943533056447
259.5752836218221,42.273679925939675,62.29772699606015
259.8886063796837,42.4153597224859,23.531049906681645
259.89067077380207,42.41675039777103,23.575548472238744
260.0848367052389,42.344753706015894,-28.220038277699672
260.1745772891181,42.48548839980619,68.90831725426543
260.30053180649105,42.506783634174084,-1.6844534986014068
260.3261192526981,42.56086527714872,-52.653601271820975
260.3046729987307,42.73060053807648,-2.754101101113386
258.57009378693454,42.32143692924398,-36.22823665746793
258.4607878810355,42.34643336911989,-30.96934414743024
258.4208797777068,42.55144701822965,5.035360580657215
258.2621260367448,42.51709675768322,54.65788813507227
258.5226624536517,42.68083256304413,-88.48824993174915
258.52397354877087,42.68059418676018,-87.92168122713113
258.18803873469693,42.68681844256792,-34.16745491887643
258.16731404908563,42.77575632357688,-27.946144004309332
258.44400504529864,42.79684801360445,22.28778508606409
258.2954719071729,42.82069022332775,-2.479408880025974
258.09058517486136,42.8625822628063,-44.13761476083328
258.03625131851726,42.92845597963613,-16.725731080889087
258.1071441554516,42.99473174278911,-44.61528242102568
258.2256926082774,42.85136563177783,7.388785228031156
258.23986797398095,42.90735592529324,-20.028271879222835
258.22176559785134,42.97838280463112,-11.160444935937832
258.2645162783566,43.01408810860846,26.769984622910265
258.4041564410931,43.09607311491028,5.311482167033422
258.0232083126101,43.05856053308444,-5.019697699804264
258.00470142294466,43.076574707911654,-30.772681955250306
258.14101016908705,43.03993730569003,12.906035115713815
258.22874884128953,43.15594931438299,10.244460885992481
258.19711665336087,43.21373893676959,-48.60827569365307
258.2847295354326,43.22865497373081,43.95038455088721
258.35483704010335,43.294740059159025,-88.82494129850585
259.00524422120554,42.199991583862584,34.13999407417135
259.190135234563,42.16236831943963,52.0042502394618
259.1863576972982,42.175681638830184,-51.27181273226756
259.25941852556224,42.23667176109984,52.206098288143195
259.081267598899,42.17299568952356,-73.82091200359488
258.9060028216416,42.18023654035757,-58.80284570368345
258.97020291836753,42.18673300230243,13.159404863353785
258.9261917279129,42.365739811472515,12.78026882078396
259.0399417491645,42.25819857846609,-50.220904259038065
259.24351882951913,42.43513819999081,24.69097587817054
259.56107234551433,42.339935835210916,-4.22479498743296
259.3649207118121,42.33996627884983,15.72934868536279
259.435850015084,42.41788255056662,-35.967785706788945
259.6474324710997,42.55383720952458,57.160868739467446
259.7859670402075,42.56666281878158,93.1134844919138
259.96935089272574,42.71102560315495,-6.869813017021355
259.94743005243106,42.798167401205816,75.40386358398762
259.60317481742607,42.66775083990418,-64.86917685599394
259.60363575329984,42.66769905409972,-66.14439847826694
259.371064185908,42.57578955813796,-1.4254563641518558
259.3728279503602,42.637714089744655,-32.08409546675633
259.6689030661321,42.82965437963421,-10.875961886990057
258.78706738115795,42.312121096631124,-25.886375397013545
258.6521231586002,42.271135673999204,45.078937942592
257.9400345962688,43.15283060009652,43.96164445309978
258.74025960572686,42.40597271363926,23.533011340744366
258.6997384843548,42.42119706411603,-6.592991033005273
257.9658357633031,43.26072952267523,-184.41294096380648
257.9659494524446,43.26132107151745,-185.80735600349135
257.95633116931504,43.33641276690841,-25.098315961867897
258.9704833149635,42.46496381496685,46.496964323373454
258.1043789368382,43.3394775245209,9.67822888763618
258.2078627693562,43.39949907993828,-65.19052271862637
258.98897834370166,42.61767489396669,27.043487487617075
