source_id,ra,dec,parallax,phot_g_mean_mag,phot_rp_mean_flux_over_error,bp_rp,radial_velocity,has_xp_continuous,has_mcmc_gspphot,distance_gspphot
3359074685047632640,99.29143146487576,17.566316517740663,100.02319547433648,8.878268,1876.4166,1.953599,-58.643005,true,true,10.0009
102162639019033600,38.40513666109431,24.92413187711575,100.14654474186186,11.529306,876.3415,2.9684,-6.4835854,true,true,9.973
1618010323247026560,217.6503357938043,59.72427392962494,100.31097867293174,14.843737,1219.5272,4.7969637,,true,false,
527956488339113600,8.142840068147475,67.23327824206002,100.3966028700123,11.106811,112.92133,2.6195107,-0.5410245,false,false,
1187851653287128576,223.62310860272,16.100530964762918,100.52427049433877,9.123367,745.33417,2.281682,-7.9658866,true,true,9.946
4535928365908541440,280.2932736323553,24.789034718675914,100.5552800669169,12.936422,598.74506,3.5547886,-11.484311,true,true,9.9318
6109610086872510592,210.96248100755366,-42.699347027825176,100.60251218748147,11.695198,1268.2902,2.9163027,-0.28728175,true,false,
4535928365908540416,280.2931336884971,24.787728362716255,100.68500426698174,10.725493,1103.0253,3.098195,,true,false,
3243715604392800512,57.6825473764549,-6.100991036847448,100.72988106724877,11.477213,1983.8994,2.8147955,-9.639221,true,false,9.9074
6792436799475128960,310.464334034236,-32.437036784381455,100.79210677742213,9.575837,72.25906,3.0309772,-4.064287,true,false,
3840711729206827520,142.68324346444365,0.32022324371767896,100.90325241620975,10.501792,1349.3986,2.6514645,46.199398,true,true,9.888
272855565763652480,69.42278387138005,52.89150297231415,100.91605993172233,7.9525313,1908.9435,1.7984858,33.72583,true,true,9.9082
1412645602995521920,255.85040248888004,51.40906417008386,100.92736593436285,11.981026,1182.9679,3.1607075,37.171906,true,true,9.8992
5699418131466175488,123.79719661239764,-23.737393793190947,101.04081512316355,11.059386,1396.5458,2.77528,45.259007,true,true,9.8865
4358031335898505472,249.09140230088192,-2.3259612815161246,101.07188811909556,5.5535517,573.2179,1.0146093,-13.105756,true,true,9.8997
4318384355378007424,294.0057292155468,15.59871595756036,101.08168901119824,20.618402,,,,false,false,
527956488340229632,8.14303081725879,67.23432836058251,101.08642729912918,9.566636,2276.6719,2.3044653,-3.374065,true,false,
522864272041351296,15.839644585280979,62.36589259248621,101.37235858535027,11.927245,397.26093,3.305438,,true,false,
522863309964987520,15.668950820681058,62.345451222893885,101.42379529598418,8.671337,1572.6797,2.1754298,-6.2840915,true,true,9.8438
1314438839310796800,251.27624770078947,33.510924834032046,101.56148649807155,7.4861526,1928.3146,1.6994839,-32.050816,true,true,9.8461
1589250088362827776,228.7472256453729,48.8013123316322,101.96447580239942,19.241777,94.123726,3.7472115,,true,false,
6792436799477051904,310.4647312153549,-32.437514921328194,101.97239029860124,9.605488,39.20272,3.1264439,-8.083389,true,false,9.7599
2358022227591374336,16.23022246917644,-18.122448954793846,102.28274631661318,12.697248,1184.459,3.4199324,12.490268,true,false,
4017860992519744384,175.55067547083934,26.70295395358736,102.30138546700663,9.582008,2479.5554,2.4492664,8.869629,false,true,9.7782
3200303384927512960,70.09847133151465,-5.501688546295259,102.59423728721372,14.904285,599.8511,4.640273,,true,false,
5052876333365036928,44.36088479989624,-31.096292745521065,102.6992596547482,19.888165,71.57782,3.074171,,true,false,
750586216906847104,162.43628733718958,35.542869572300205,102.75212885827295,11.625256,1457.109,2.9660664,64.614235,true,false,
1749030362195988096,307.6793554237034,7.826109074596544,102.7965519033275,20.135214,30.685675,3.221901,,false,false,
4698424845771339520,25.75030396963025,-67.31295815760012,102.90778143705751,13.696558,1977.6503,0.6537342,,true,false,
6794047652729201024,311.2911826481039,-31.3425000799281,102.9431913175485,7.8434396,808.0709,2.1113243,-6.8976626,true,false,
6254033894121581952,235.51777703710027,-19.476366652438784,103.17978190067224,10.685861,1859.2185,2.6100235,83.180595,true,false,
5946986063671469824,263.8059466621306,-48.67780401885913,103.202705055613,11.613846,226.70164,2.8484068,-25.698797,true,true,9.69
5946986063684477056,263.80723698261943,-48.67877743078911,103.30805319435495,9.293614,1899.3853,2.27184,-23.446016,true,true,9.6847
1725759404752580736,211.37927527966667,83.8427056014529,103.44742930702999,20.120592,32.558823,2.5086575,,false,false,
43574131143039104,58.17597943609416,17.014956629753385,103.50079405457333,12.176142,667.0725,3.2023096,35.963917,true,false,
5425628298649940608,144.94009578928657,-41.065969983608085,104.0957433164141,9.631405,816.9571,2.5324478,18.05817,true,true,9.6173
6779821003058453120,312.5691416793731,-34.413153176093374,104.13101101563805,12.0486,1167.769,3.1831532,-25.37443,true,true,9.577
4025850731201819392,175.26250050618376,34.19993957543697,104.42517041496379,5.1109953,577.0078,0.9060354,-5.6971955,true,true,9.5746
2188318517720321664,306.5243172601894,58.57537971545967,104.44145826068146,12.352267,1500.8982,3.3413076,-60.256958,true,true,9.5581
